PPFL_GEL

THE GREAT EASTERN LIFE ASSURANCE COMPANY LIMITED

LIST OF INSURED POLICIES

Update as of  4-May-26

Policies which are eligible for Policy Owners' Protection Scheme protection under the Deposit Insurance and Policies Owners' Protection Schemes Act 2011.

(Refer to 2nd schedule of the Act for the types of policies under each category)

Category      Product Name
      1       ACC DEATH & DISMEMBERMENT W RCC
      1       ACCIDENTAL DEATH AND DISMEMBERMENT
      1       ACCIDENTAL DEATH BEN
      1       ACCIDENTAL DEATH BEN WITH RCC
      1       ACCIDENTAL DEATH BENEFIT
      1       ACCIDENTAL DEATH BENEFIT (PAYER 15)
      1       ACCIDENTAL PERMANENT DISABLEMENT
      1       ACCIDENTCARE
      1       ACCIDENTCARE (AD&D)
      1       ACCIDENTCARE (ADB)
      1       ACCIDENTCARE (ADDD)
      1       ACCIDENTCARE (ADDMB)
      1       ACCIDENTCARE (CAB)
      1       ACCIDENTCARE II (ACCIDENTAL DEATH AND DISABLEMENT BENEFITS)
      1       ACCIDENTCARE II (ACCIDENTAL DEATH BENEFIT)
      1       ACCIDENTCARE II (ACCIDENTAL DEATH, DISABLEMENT AND DISABILITY BENEFITS)
      1       ACCIDENTCARE II (ACCIDENTAL DEATH, DISABLEMENT AND MEDICAL BENEFITS)
      1       ACCIDENTCARE II (COMPREHENSIVE ACCIDENT BENEFIT PLUS)
      1       ACCIDENTCARE II (COMPREHENSIVE ACCIDENT BENEFIT)
      1       ACCIDENTCARE PLUS
      1       ACCIDENTCARE PLUS II
      1       ACCIDENTCARE PLUS II RIDER
      1       ASSISTED REPRODUCTION PROGRAMME
      1       COMPREHENSIVE ACC BEN WITH RCC
1  COMPREHENSIVE PERSONAL ACCIDENT

1  CRITICAL ILLNESS PREMIUM WAIVER RIDER

1  DOUBLE ACCIDENT PROTECTOR (WALK IN)

1  DOUBLE INDEMNITY

1  EARLY CANCER CARE

1  EARLY CANCER CARE 2.0

1  ELDERSHIELD COMPREHENSIVE 2 ADLs (10 YRS)

1  ELDERSHIELD COMPREHENSIVE 2 ADLs (LIFE)

1  ELDERSHIELD COMPREHENSIVE 3 ADLs (10 YRS)

1  ELDERSHIELD COMPREHENSIVE 3 ADLs (LIFE)

1  ELDERSHIELD VALUEPLUS 300

1  ELDERSHIELD VALUEPLUS 400

1  ENHANCED LIFE ACCIDENT PROTECTOR

1  ESSENTIAL PROTECTOR

1  ESSENTIAL PROTECTOR PLUS

1  ESSENTIAL PROTECTOR PLUS (PROVISION) - PLAN A

1  ESSENTIAL PROTECTOR PLUS (PROVISION) - PLAN B

1  ESSENTIAL PROTECTOR PLUS (PROVISION) - PLAN C

1  EXTENDED TPD RIDER

1  EXTENDED TPD RIDER (10 YR DEF'D)

1  EXTENDED TPD RIDER (5 YR DEF'D)

1  EXTENDED TPD RIDER (5)

1  FAMILY INCOME BENEFIT

1  G'TEED INSURABILITY BEN RIDER

1  GL PAYER BENEFIT (LA) RIDER

1  GLOBAL ADVANTAGE PLAN

1  GOLDEN PROTECTOR

1  GOLDEN PROTECTOR PLUS

1  GREAT CANCER GUARD

1  GREAT CARE BENEFIT

1  GREAT CARESHIELD ADVANTAGE

1  GREAT CARESHIELD ENHANCED

1  GREAT CARESHIELD SUPREME

1  GREAT GOLDEN PROTECTOR

1  GREAT HOSPITAL CASH

1  GREAT JUNIOR PROTECTOR
1  GREAT MATERNITY CARE

1  GREAT PERSONAL PROTECTOR

1  GREAT PROTECTOR

1  GREAT PROTECTOR ACTIVE

1  GREAT RECOVERY CARE

1  GREAT SUPREMEHEALTH

1  GREAT TOTALCARE

1  GREAT TOTALCARE 2

1  GREAT TOTALCARE PLUS

1  GREAT TOTALCARE PLUS 2

1  GREAT TOTALHEALTH

1  GREAT TOTALHEALTH PLUS

1  GREATLINK PAYER BENEFIT (LIVING ASSURANCE) RIDER II

1  GREATLINK PAYER BENEFIT RIDER

1  GROUP CLINICAL CONTRACT RIDER

1  GROUP DENTAL HEALTH PLAN

1  GROUP HOSPITAL AND SURGICAL POLICY

1  GROUP LIVE GREAT OUTPATIENT CONTRACT RIDER

1  GROUP LONG TERM DISABILITY INSURANCE POLICY

1  GROUP MAJOR MEDICAL BENEFIT

1  GROUP MATERNITY CONTRACT RIDER

